"Category","Overheads"
"Salary Expense",24.02
"Interest Expense ",0.41
"Marketing Expense",7.27
"Rental Expense",14.84
"Overflow Expense - Retail",0.66
"Penalty Expense",4.09
"Depreciation Expense",12.79
"Maintenance Expense",8.46
"Shipping Expense",14.72
"Human Resource Expense",12.75
